Training Set Size,Mean Accuracy,Max Accuracy,Min Accuracy,Mean Tree Size,Max Tree Size,Min Tree Size
0.3,"[0.9357664233576642, 0.9504273504273504, 0.9775510204081632, 0.976923076923077, 0.9932203389830508]","[0.9927007299270073, 1.0, 0.9897959183673469, 1.0, 1.0]","[0.8467153284671532, 0.811965811965812, 0.9591836734693877, 0.9487179487179487, 0.9830508474576272]","[11.8, 11.4, 11.0, 11.0, 11.0]","[13, 13, 11, 11, 11]","[11, 11, 11, 11, 11]"
0.4,"[0.9357664233576642, 0.9504273504273504, 0.9775510204081632, 0.976923076923077, 0.9932203389830508]","[0.9927007299270073, 1.0, 0.9897959183673469, 1.0, 1.0]","[0.8467153284671532, 0.811965811965812, 0.9591836734693877, 0.9487179487179487, 0.9830508474576272]","[11.8, 11.4, 11.0, 11.0, 11.0]","[13, 13, 11, 11, 11]","[11, 11, 11, 11, 11]"
0.5,"[0.9357664233576642, 0.9504273504273504, 0.9775510204081632, 0.976923076923077, 0.9932203389830508]","[0.9927007299270073, 1.0, 0.9897959183673469, 1.0, 1.0]","[0.8467153284671532, 0.811965811965812, 0.9591836734693877, 0.9487179487179487, 0.9830508474576272]","[11.8, 11.4, 11.0, 11.0, 11.0]","[13, 13, 11, 11, 11]","[11, 11, 11, 11, 11]"
0.6,"[0.9357664233576642, 0.9504273504273504, 0.9775510204081632, 0.976923076923077, 0.9932203389830508]","[0.9927007299270073, 1.0, 0.9897959183673469, 1.0, 1.0]","[0.8467153284671532, 0.811965811965812, 0.9591836734693877, 0.9487179487179487, 0.9830508474576272]","[11.8, 11.4, 11.0, 11.0, 11.0]","[13, 13, 11, 11, 11]","[11, 11, 11, 11, 11]"
0.7,"[0.9357664233576642, 0.9504273504273504, 0.9775510204081632, 0.976923076923077, 0.9932203389830508]","[0.9927007299270073, 1.0, 0.9897959183673469, 1.0, 1.0]","[0.8467153284671532, 0.811965811965812, 0.9591836734693877, 0.9487179487179487, 0.9830508474576272]","[11.8, 11.4, 11.0, 11.0, 11.0]","[13, 13, 11, 11, 11]","[11, 11, 11, 11, 11]"
